Date,Sales,GrowthRate
30-06-2016,34.531,0
30-09-2016,44.9045,-0.300411225
31-12-2016,44.9045,0
31-03-2017,47.297,-0.053279738
30-06-2017,47.297,0
30-09-2017,60.3555,-0.276095735
31-12-2017,60.3555,0
31-03-2018,81.2125,-0.345569169
30-06-2018,81.2125,0
30-09-2018,94.7665,-0.16689549
31-12-2018,94.7665,0
31-03-2019,127.7535,-0.34808714
30-06-2019,127.7535,0
30-09-2019,144.4555,-0.130736144
31-12-2019,144.4555,0
31-03-2020,135.532,0.061773349
30-06-2020,135.532,0
30-09-2020,149.9445,-0.1063402
31-12-2020,149.9445,0
31-03-2021,121.6875,0.188449726
30-06-2021,121.6875,0
30-09-2021,113.059,0.070907036
31-12-2021,113.059,0
31-03-2022,163.932,-0.4499686
30-06-2022,163.932,0
30-09-2022,163.5675,0.002223483
31-12-2022,163.5675,0
31-03-2023,170.748,-0.043899308
30-06-2023,170.748,0
30-09-2023,124.45,0.271148125
31-12-2023,124.45,0
31-03-2024,179.6785,-0.443780635
30-06-2024,179.6785,0
30-09-2024,184.8635,-0.028857098
31-12-2024,184.8635,0
31-03-2025,204.838,-0.108049994
30-06-2025,204.838,0
