Date,Sales,GrowthRate
30-06-2016,17.709,0
30-09-2016,23.795,-0.343667062
31-12-2016,23.795,0
31-03-2017,23.7085,0.003635217
30-06-2017,23.7085,0
30-09-2017,27.125,-0.144104435
31-12-2017,27.125,0
31-03-2018,36.445,-0.34359447
30-06-2018,36.445,0
30-09-2018,36.104,0.009356565
31-12-2018,36.104,0
31-03-2019,55.415,-0.534871482
30-06-2019,55.415,0
30-09-2019,59.449,-0.072796174
31-12-2019,59.449,0
31-03-2020,61.3095,-0.031295732
30-06-2020,61.3095,0
30-09-2020,67.7,-0.104233439
31-12-2020,67.7,0
31-03-2021,54.4305,0.196004431
30-06-2021,54.4305,0
30-09-2021,29.262,0.462397002
31-12-2021,29.262,0
31-03-2022,64.062,-1.18925569
30-06-2022,64.062,0
30-09-2022,69.1455,-0.079352814
31-12-2022,69.1455,0
31-03-2023,105.4795,-0.52547165
30-06-2023,105.4795,0
30-09-2023,50.196,0.52411606
31-12-2023,50.196,0
31-03-2024,97.902,-0.950394454
30-06-2024,97.902,0
30-09-2024,104.653,-0.068956712
31-12-2024,104.653,0
31-03-2025,97.245,0.070786313
30-06-2025,97.245,0
