Date,Sales,GrowthRate
30-06-2016,1.2855,0
30-09-2016,1.7055,-0.32672112
31-12-2016,1.7055,0
31-03-2017,1.918,-0.124596892
30-06-2017,1.918,0
30-09-2017,1.7675,0.078467153
31-12-2017,1.7675,0
31-03-2018,3.2045,-0.81301273
30-06-2018,3.2045,0
30-09-2018,7.643,-1.385083476
31-12-2018,7.643,0
31-03-2019,6.4715,0.153277509
30-06-2019,6.4715,0
30-09-2019,1.299,0.799273739
31-12-2019,1.299,0
31-03-2020,5.7115,-3.396843726
30-06-2020,5.7115,0
30-09-2020,2.938,0.48559923
31-12-2020,2.938,0
31-03-2021,5.0185,-0.708134786
30-06-2021,5.0185,0
30-09-2021,5.1755,-0.031284248
31-12-2021,5.1755,0
31-03-2022,14.959,-1.890348759
30-06-2022,14.959,0
30-09-2022,20.22235,-0.351851728
31-12-2022,20.22235,0
31-03-2023,13.891,0.313086758
30-06-2023,13.891,0
30-09-2023,-4.264,1.306961342
31-12-2023,-4.264,0
31-03-2024,8.25,2.934803002
30-06-2024,8.25,0
30-09-2024,8.511,-0.031636364
31-12-2024,8.511,0
31-03-2025,10.454,-0.228292798
30-06-2025,10.454,0
