Date,Sales,GrowthRate
30-06-2020,4.8555,0
30-09-2020,21.0515,-3.335598805
31-12-2020,21.0515,0
31-03-2021,10.1635,0.5172078
30-06-2021,10.1635,0
30-09-2021,29.4965,-1.902199046
31-12-2021,29.4965,0
31-03-2022,22.6525,0.232027529
30-06-2022,22.6525,0
30-09-2022,7.3505,0.675510429
31-12-2022,7.3505,0
31-03-2023,25.1005,-2.414801714
30-06-2023,25.1005,0
30-09-2023,36.5335,-0.455488934
31-12-2023,36.5335,0
31-03-2024,34.528,0.054894823
30-06-2024,34.528,0
30-09-2024,29.135,0.156192076
31-12-2024,29.135,0
31-03-2025,25.366,0.129363309
30-06-2025,25.366,0
