Date,Sales,GrowthRate
30-06-2016,2.646,0
30-09-2016,2.7465,-0.037981859
31-12-2016,2.7465,0
31-03-2017,3.4465,-0.254869834
30-06-2017,3.4465,0
30-09-2017,4.01,-0.163499202
31-12-2017,4.01,0
31-03-2018,3.0215,0.246508728
30-06-2018,3.0215,0
30-09-2018,2.9115,0.036405759
31-12-2018,2.9115,0
31-03-2019,3.625,-0.245062682
30-06-2019,3.625,0
30-09-2019,3.1675,0.126206897
31-12-2019,3.1675,0
31-03-2020,1.808,0.429202841
30-06-2020,1.808,0
30-09-2020,3.7195,-1.057245575
31-12-2020,3.7195,0
31-03-2021,0.3875,0.895819331
30-06-2021,0.3875,0
30-09-2021,0.3805,0.018064516
31-12-2021,0.3805,0
31-03-2022,0,1
30-06-2022,0,0
30-09-2022,0,0
31-12-2022,0,0
31-03-2023,9.124,0
30-06-2023,9.124,0
30-09-2023,15.6725,-0.71772249
31-12-2023,15.6725,0
31-03-2024,8.1925,0.477269102
30-06-2024,8.1925,0
30-09-2024,17.475,-1.13304852
31-12-2024,17.475,0
31-03-2025,9.212,0.472846924
30-06-2025,9.212,0
