Date,Sales,GrowthRate
30-06-2013,744,-0.033333333
30-09-2013,721,0.030913978
31-12-2013,775,-0.074895978
31-03-2014,723,0.067096774
30-06-2014,779,-0.077455048
30-09-2014,766,0.016688062
31-12-2014,782,-0.020887728
31-03-2015,681,0.12915601
30-06-2015,741,-0.088105727
30-09-2015,720,0.028340081
31-12-2015,752,-0.044444444
31-03-2016,695,0.075797872
30-06-2016,772,-0.110791367
30-09-2016,757,0.019430052
31-12-2016,779,-0.029062087
31-03-2017,695,0.107830552
30-06-2017,788,-0.13381295
30-09-2017,803,-0.019035533
31-12-2017,856,-0.066002491
31-03-2018,791,0.075934579
30-06-2018,880,-0.112515803
30-09-2018,837,0.048863636
31-12-2018,893,-0.066905615
31-03-2019,812,0.090705487
30-06-2019,897,-0.104679803
30-09-2019,905,-0.008918618
31-12-2019,956,-0.056353591
31-03-2020,722,0.244769874
30-06-2020,698,0.033240997
30-09-2020,892,-0.277936963
31-12-2020,997,-0.117713004
31-03-2021,911,0.086258776
30-06-2021,1023,-0.122941822
30-09-2021,1001,0.021505376
31-12-2021,1048,-0.046953047
31-03-2022,916,0.125954198
30-06-2022,934,-0.019650655
30-09-2022,938,-0.004282655
31-12-2022,963,-0.026652452
31-03-2023,893,0.072689512
30-06-2023,982,-0.099664054
30-09-2023,997,-0.015274949
31-12-2023,1044,-0.047141424
31-03-2024,895,0.142720307
30-06-2024,1002,-0.119553073
30-09-2024,982,0.01996008
31-12-2024,1024,-0.042769857
31-03-2025,845,0.174804688
30-06-2025,1007,-0.191715976
30-09-2025,998,0.008937438
31-12-2025,1085,-0.087174349
