Date,Sales,GrowthRate
30-06-2013,67,-0.155172414
30-09-2013,67,0
31-12-2013,78,-0.164179104
31-03-2014,65,0.166666667
30-06-2014,64,0.015384615
30-09-2014,68,-0.0625
31-12-2014,81,-0.191176471
31-03-2015,63,0.222222222
30-06-2015,66,-0.047619048
30-09-2015,66,0
31-12-2015,80,-0.212121212
31-03-2016,61,0.2375
30-06-2016,68,-0.114754098
30-09-2016,70,-0.029411765
31-12-2016,73,-0.042857143
31-03-2017,67,0.082191781
30-06-2017,73,-0.089552239
30-09-2017,78,-0.068493151
31-12-2017,85,-0.08974359
31-03-2018,79,0.070588235
30-06-2018,84,-0.063291139
30-09-2018,84,0
31-12-2018,85,-0.011904762
31-03-2019,68,0.2
30-06-2019,69,-0.014705882
30-09-2019,76,-0.101449275
31-12-2019,80,-0.052631579
31-03-2020,74,0.075
30-06-2020,215,-1.905405405
30-09-2020,238,-0.106976744
31-12-2020,290,-0.218487395
31-03-2021,272,0.062068966
30-06-2021,196,0.279411765
30-09-2021,183,0.066326531
31-12-2021,210,-0.147540984
31-03-2022,248,-0.180952381
30-06-2022,141,0.431451613
30-09-2022,118,0.163120567
31-12-2022,118,0
31-03-2023,100,0.152542373
30-06-2023,98,0.02
30-09-2023,95,0.030612245
31-12-2023,109,-0.147368421
31-03-2024,87,0.201834862
30-06-2024,94,-0.08045977
30-09-2024,91,0.031914894
31-12-2024,99,-0.087912088
31-03-2025,82,0.171717172
30-06-2025,88,-0.073170732
30-09-2025,95,-0.079545455
31-12-2025,102,-0.073684211
