Date,Sales,GrowthRate
30-06-2013,20,-0.111111111
30-09-2013,17,-0.024691358
31-12-2013,22,0.024096386
31-03-2014,19,-0.012345679
30-06-2014,21,-0.024390244
30-09-2014,21,-0.023809524
31-12-2014,22,-0.104651163
31-03-2015,22,0.010526316
30-06-2015,20,0
30-09-2015,22,-0.021276596
31-12-2015,21,-0.083333333
31-03-2016,23,0.019230769
30-06-2016,25,-0.019607843
30-09-2016,24,0.038461538
31-12-2016,29,-0.06
31-03-2017,25,-0.037735849
30-06-2017,27,-0.018181818
30-09-2017,29,0.089285714
31-12-2017,29,-0.137254902
31-03-2018,31,0.051724138
30-06-2018,31,0.018181818
30-09-2018,30,0.018518519
31-12-2018,29,-0.018867925
31-03-2019,26,-0.009259259
30-06-2019,32,-0.036697248
30-09-2019,32,0.008849558
31-12-2019,33,0.071428571
31-03-2020,35,0.009615385
30-06-2020,39,0.233009709
30-09-2020,35,-0.215189873
31-12-2020,38,0.052083333
31-03-2021,37,-0.010989011
30-06-2021,40,-0.054347826
30-09-2021,35,-0.030927835
31-12-2021,40,0.05
31-03-2022,37,0.042105263
30-06-2022,38,-0.10989011
30-09-2022,35,0.089108911
31-12-2022,43,0.043478261
31-03-2023,41,-0.056818182
30-06-2023,43,-0.064516129
30-09-2023,43,0.02020202
31-12-2023,42,-0.103092784
31-03-2024,41,0.08411215
30-06-2024,49,-0.091836735
30-09-2024,43,0.037383178
31-12-2024,47,0.029126214
31-03-2025,42,0
30-06-2025,44,-0.04
30-09-2025,47,-0.067307692
31-12-2025,51,0.036036036
