Date,Sales,GrowthRate
31-03-2018,236,0.032786885
30-06-2018,226,0.042372881
30-09-2018,207,0.084070796
31-12-2018,255,-0.231884058
31-03-2019,211,0.17254902
30-06-2019,212,-0.004739336
30-09-2019,194,0.08490566
31-12-2019,223,-0.149484536
31-03-2020,192,0.139013453
30-06-2020,185,0.036458333
30-09-2020,342,-0.848648649
31-12-2020,1039,-2.038011696
31-03-2021,1153,-0.109720885
30-06-2021,833,0.27753686
30-09-2021,746,0.104441777
31-12-2021,787,-0.054959786
31-03-2022,1344,-0.707750953
30-06-2022,740,0.449404762
30-09-2022,839,-0.133783784
31-12-2022,486,0.420738975
31-03-2023,319,0.343621399
30-06-2023,233,0.269592476
30-09-2023,301,-0.291845494
31-12-2023,319,-0.059800664
31-03-2024,260,0.184952978
30-06-2024,238,0.084615385
30-09-2024,264,-0.109243697
31-12-2024,295,-0.117424242
31-03-2025,214,0.274576271
30-06-2025,223,-0.042056075
30-09-2025,227,-0.01793722
31-12-2025,252,-0.110132159
