Date,Sales,GrowthRate
30-06-2013,627,0.032407407
30-09-2013,-828,-1.35625
31-12-2013,134,-0.026525199
31-03-2014,185,0.049095607
30-06-2014,178,-0.067934783
30-09-2014,184,0.020356234
31-12-2014,188,-0.005194805
31-03-2015,244,0.005167959
30-06-2015,250,-0.041558442
30-09-2015,263,0.009975062
31-12-2015,182,-0.0302267
31-03-2016,254,0.014669927
30-06-2016,226,-0.054590571
30-09-2016,265,0.025882353
31-12-2016,202,-0.050724638
31-03-2017,220,0.006896552
30-06-2017,223,-0.0625
30-09-2017,286,0.050108932
31-12-2017,251,-0.032110092
31-03-2018,251,0.004444444
30-06-2018,263,-0.046875
30-09-2018,293,0.021321962
31-12-2018,252,-0.017429194
31-03-2019,240,0.029978587
30-06-2019,255,-0.048565121
30-09-2019,321,-0.006315789
31-12-2019,278,0.010460251
31-03-2020,231,-0.095137421
30-06-2020,249,0.065637066
30-09-2020,300,-0.008264463
31-12-2020,928,-0.018442623
31-03-2021,249,-0.022132797
30-06-2021,265,-0.039370079
30-09-2021,329,-0.109848485
31-12-2021,336,0.027303754
31-03-2022,245,0.407017544
30-06-2022,292,-0.221893491
30-09-2022,333,0.13559322
31-12-2022,314,-0.271708683
31-03-2023,277,-0.011013216
30-06-2023,297,-0.104575163
30-09-2023,381,0.001972387
31-12-2023,304,0.001976285
31-03-2024,298,-0.017821782
30-06-2024,306,-0.097276265
30-09-2024,451,-0.007092199
31-12-2024,281,0.01056338
31-03-2025,295,-0.046263345
30-06-2025,324,0.00170068
30-09-2025,414,0.114139693
31-12-2025,336,0.109615385
