Date,Sales,GrowthRate
30-06-2013,191,-0.043715847
30-09-2013,197,0.096296296
31-12-2013,217,-0.057377049
31-03-2014,186,0.248062016
30-06-2014,196,-0.010309278
30-09-2014,198,-0.040816327
31-12-2014,205,-0.058823529
31-03-2015,165,0.055555556
30-06-2015,185,0.088235294
30-09-2015,177,-0.053763441
31-12-2015,196,-0.030612245
31-03-2016,174,0.316831683
30-06-2016,210,-0.057971014
30-09-2016,210,-0.315068493
31-12-2016,223,0.09375
31-03-2017,217,0.137931034
30-06-2017,255,-0.08
30-09-2017,289,-0.037037037
31-12-2017,321,-0.095238095
31-03-2018,335,0.065217391
30-06-2018,364,-0.418604651
30-09-2018,399,-0.090163934
31-12-2018,395,-0.015037594
31-03-2019,421,-0.185185185
30-06-2019,451,-0.04375
30-09-2019,497,-0.101796407
31-12-2019,477,0.092391304
31-03-2020,392,-0.113772455
30-06-2020,553,-0.086021505
30-09-2020,617,-0.118811881
31-12-2020,667,-0.10619469
31-03-2021,727,-0.012
30-06-2021,767,-0.14229249
30-09-2021,798,-0.117647059
31-12-2021,824,-0.074303406
31-03-2022,783,0.011527378
30-06-2022,793,-0.163265306
30-09-2022,744,-0.060150376
31-12-2022,803,-0.106382979
31-03-2023,834,-0.023504274
30-06-2023,919,-0.054279749
30-09-2023,928,-0.077227723
31-12-2023,951,-0.104779412
31-03-2024,980,0.019966722
30-06-2024,1011,-0.081494058
30-09-2024,1052,-0.056514914
31-12-2024,1129,-0.09063893
31-03-2025,1079,-0.019073569
30-06-2025,1187,-0.061497326
30-09-2025,1261,-0.002518892
31-12-2025,1290,-0.059045226
