Date,Sales,GrowthRate
30-06-2017,189,-0.105263158
30-09-2017,195,-0.031746032
31-12-2017,218,-0.117948718
31-03-2018,209,0.041284404
30-06-2018,230,-0.100478469
30-09-2018,217,0.056521739
31-12-2018,243,-0.119815668
31-03-2019,236,0.028806584
30-06-2019,240,-0.016949153
30-09-2019,242,-0.008333333
31-12-2019,261,-0.078512397
31-03-2020,224,0.141762452
30-06-2020,179,0.200892857
30-09-2020,249,-0.391061453
31-12-2020,266,-0.068273092
31-03-2021,252,0.052631579
30-06-2021,278,-0.103174603
30-09-2021,293,-0.053956835
31-12-2021,306,-0.044368601
31-03-2022,269,0.120915033
30-06-2022,260,0.033457249
30-09-2022,244,0.061538462
31-12-2022,245,-0.004098361
31-03-2023,267,-0.089795918
30-06-2023,308,-0.153558052
30-09-2023,298,0.032467532
31-12-2023,314,-0.053691275
31-03-2024,318,-0.012738854
30-06-2024,340,-0.06918239
30-09-2024,325,0.044117647
31-12-2024,343,-0.055384615
31-03-2025,330,0.037900875
30-06-2025,378,-0.145454545
30-09-2025,383,-0.013227513
31-12-2025,390,-0.018276762
31-03-2022,50,0.871794872
30-06-2022,73,-0.46
30-09-2022,73,0
31-12-2022,79,-0.082191781
31-03-2023,85,-0.075949367
30-06-2023,85,0
30-09-2023,89,-0.047058824
31-12-2023,111,-0.247191011
31-03-2024,158,-0.423423423
30-06-2024,271,-0.715189873
30-09-2024,366,-0.350553506
31-12-2024,461,-0.259562842
31-03-2025,511,-0.10845987
30-06-2025,587,-0.148727984
30-09-2025,607,-0.03407155
31-12-2025,606,0.001647446
