Date,Sales,GrowthRate
30-06-2017,36,-0.090909091
30-09-2017,39,-0.083333333
31-12-2017,44,-0.128205128
31-03-2018,39,0.113636364
30-06-2018,46,-0.179487179
30-09-2018,41,0.108695652
31-12-2018,53,-0.292682927
31-03-2019,41,0.226415094
30-06-2019,52,-0.268292683
30-09-2019,50,0.038461538
31-12-2019,52,-0.04
31-03-2020,51,0.019230769
30-06-2020,43,0.156862745
30-09-2020,46,-0.069767442
31-12-2020,53,-0.152173913
31-03-2021,49,0.075471698
30-06-2021,59,-0.204081633
30-09-2021,59,0
31-12-2021,68,-0.152542373
31-03-2022,54,0.205882353
30-06-2022,62,-0.148148148
30-09-2022,51,0.177419355
31-12-2022,59,-0.156862745
31-03-2023,63,-0.06779661
30-06-2023,69,-0.095238095
30-09-2023,67,0.028985507
31-12-2023,74,-0.104477612
31-03-2024,68,0.081081081
30-06-2024,77,-0.132352941
30-09-2024,70,0.090909091
31-12-2024,78,-0.114285714
31-03-2025,77,0.012820513
30-06-2025,86,-0.116883117
30-09-2025,86,0
31-12-2025,92,-0.069767442
31-03-2022,50,0.456521739
30-06-2022,73,-0.46
30-09-2022,73,0
31-12-2022,79,-0.082191781
31-03-2023,85,-0.075949367
30-06-2023,85,0
30-09-2023,89,-0.047058824
31-12-2023,111,-0.247191011
31-03-2024,158,-0.423423423
30-06-2024,271,-0.715189873
30-09-2024,366,-0.350553506
31-12-2024,461,-0.259562842
31-03-2025,511,-0.10845987
30-06-2025,587,-0.148727984
30-09-2025,607,-0.03407155
31-12-2025,606,0.001647446
