Date,Sales,GrowthRate
30-06-2017,46,-0.179487179
30-09-2017,44,0.043478261
31-12-2017,43,0.022727273
31-03-2018,44,-0.023255814
30-06-2018,49,-0.113636364
30-09-2018,40,0.183673469
31-12-2018,41,-0.025
31-03-2019,41,0
30-06-2019,44,-0.073170732
30-09-2019,39,0.113636364
31-12-2019,47,-0.205128205
31-03-2020,40,0.14893617
30-06-2020,21,0.475
30-09-2020,36,-0.714285714
31-12-2020,41,-0.138888889
31-03-2021,39,0.048780488
30-06-2021,44,-0.128205128
30-09-2021,41,0.068181818
31-12-2021,41,0
31-03-2022,36,0.12195122
30-06-2022,40,-0.111111111
30-09-2022,36,0.1
31-12-2022,39,-0.083333333
31-03-2023,41,-0.051282051
30-06-2023,42,-0.024390244
30-09-2023,39,0.071428571
31-12-2023,43,-0.102564103
31-03-2024,45,-0.046511628
30-06-2024,51,-0.133333333
30-09-2024,46,0.098039216
31-12-2024,53,-0.152173913
31-03-2025,52,0.018867925
30-06-2025,61,-0.173076923
30-09-2025,58,0.049180328
31-12-2025,66,-0.137931034
31-03-2022,50,0.242424242
30-06-2022,73,-0.46
30-09-2022,73,0
31-12-2022,79,-0.082191781
31-03-2023,85,-0.075949367
30-06-2023,85,0
30-09-2023,89,-0.047058824
31-12-2023,111,-0.247191011
31-03-2024,158,-0.423423423
30-06-2024,271,-0.715189873
30-09-2024,366,-0.350553506
31-12-2024,461,-0.259562842
31-03-2025,511,-0.10845987
30-06-2025,587,-0.148727984
30-09-2025,607,-0.03407155
31-12-2025,606,0.001647446
