Date,Sales,GrowthRate
30-06-2017,279,-0.111553785
30-09-2017,261,0.064516129
31-12-2017,282,-0.08045977
31-03-2018,271,0.039007092
30-06-2018,286,-0.055350554
30-09-2018,256,0.104895105
31-12-2018,264,-0.03125
31-03-2019,257,0.026515152
30-06-2019,275,-0.070038911
30-09-2019,273,0.007272727
31-12-2019,282,-0.032967033
31-03-2020,246,0.127659574
30-06-2020,216,0.12195122
30-09-2020,265,-0.226851852
31-12-2020,284,-0.071698113
31-03-2021,278,0.021126761
30-06-2021,298,-0.071942446
30-09-2021,305,-0.023489933
31-12-2021,299,0.019672131
31-03-2022,276,0.076923077
30-06-2022,284,-0.028985507
30-09-2022,270,0.049295775
31-12-2022,260,0.037037037
31-03-2023,267,-0.026923077
30-06-2023,314,-0.176029963
30-09-2023,292,0.070063694
31-12-2023,297,-0.017123288
31-03-2024,291,0.02020202
30-06-2024,315,-0.082474227
30-09-2024,309,0.019047619
31-12-2024,321,-0.038834951
31-03-2025,281,0.124610592
30-06-2025,333,-0.185053381
30-09-2025,336,-0.009009009
31-12-2025,365,-0.086309524
31-03-2022,50,0.863013699
30-06-2022,73,-0.46
30-09-2022,73,0
31-12-2022,79,-0.082191781
31-03-2023,85,-0.075949367
30-06-2023,85,0
30-09-2023,89,-0.047058824
31-12-2023,111,-0.247191011
31-03-2024,158,-0.423423423
30-06-2024,271,-0.715189873
30-09-2024,366,-0.350553506
31-12-2024,461,-0.259562842
31-03-2025,511,-0.10845987
30-06-2025,587,-0.148727984
30-09-2025,607,-0.03407155
31-12-2025,606,0.001647446
