Date,Sales,GrowthRate
30-06-2017,164,-0.100671141
30-09-2017,160,0.024390244
31-12-2017,178,-0.1125
31-03-2018,184,-0.033707865
30-06-2018,197,-0.070652174
30-09-2018,179,0.091370558
31-12-2018,191,-0.067039106
31-03-2019,188,0.015706806
30-06-2019,200,-0.063829787
30-09-2019,190,0.05
31-12-2019,206,-0.084210526
31-03-2020,182,0.116504854
30-06-2020,132,0.274725275
30-09-2020,194,-0.46969697
31-12-2020,199,-0.025773196
31-03-2021,208,-0.045226131
30-06-2021,231,-0.110576923
30-09-2021,215,0.069264069
31-12-2021,226,-0.051162791
31-03-2022,221,0.022123894
30-06-2022,233,-0.054298643
30-09-2022,213,0.08583691
31-12-2022,227,-0.0657277
31-03-2023,251,-0.105726872
30-06-2023,279,-0.111553785
30-09-2023,264,0.053763441
31-12-2023,267,-0.011363636
31-03-2024,282,-0.056179775
30-06-2024,306,-0.085106383
30-09-2024,288,0.058823529
31-12-2024,319,-0.107638889
31-03-2025,295,0.07523511
30-06-2025,347,-0.176271186
30-09-2025,338,0.025936599
31-12-2025,371,-0.097633136
31-03-2022,50,0.865229111
30-06-2022,73,-0.46
30-09-2022,73,0
31-12-2022,79,-0.082191781
31-03-2023,85,-0.075949367
30-06-2023,85,0
30-09-2023,89,-0.047058824
31-12-2023,111,-0.247191011
31-03-2024,158,-0.423423423
30-06-2024,271,-0.715189873
30-09-2024,366,-0.350553506
31-12-2024,461,-0.259562842
31-03-2025,511,-0.10845987
30-06-2025,587,-0.148727984
30-09-2025,607,-0.03407155
31-12-2025,606,0.001647446
