Date,Sales,GrowthRate
30-06-2013,464,0.004291845
30-09-2013,446,0.038793103
31-12-2013,487,-0.091928251
31-03-2014,473,0.028747433
30-06-2014,484,-0.023255814
30-09-2014,449,0.07231405
31-12-2014,464,-0.033407572
31-03-2015,415,0.105603448
30-06-2015,424,-0.021686747
30-09-2015,394,0.070754717
31-12-2015,414,-0.050761421
31-03-2016,396,0.043478261
30-06-2016,436,-0.101010101
30-09-2016,403,0.075688073
31-12-2016,414,-0.027295285
31-03-2017,399,0.036231884
30-06-2017,436,-0.09273183
30-09-2017,432,0.009174312
31-12-2017,445,-0.030092593
31-03-2018,453,-0.017977528
30-06-2018,466,-0.028697572
30-09-2018,436,0.064377682
31-12-2018,448,-0.027522936
31-03-2019,443,0.011160714
30-06-2019,460,-0.038374718
30-09-2019,446,0.030434783
31-12-2019,454,-0.01793722
31-03-2020,395,0.129955947
30-06-2020,313,0.207594937
30-09-2020,400,-0.277955272
31-12-2020,378,0.055
31-03-2021,416,-0.100529101
30-06-2021,451,-0.084134615
30-09-2021,425,0.057649667
31-12-2021,447,-0.051764706
31-03-2022,410,0.082774049
30-06-2022,425,-0.036585366
30-09-2022,393,0.075294118
31-12-2022,391,0.005089059
31-03-2023,399,-0.020460358
30-06-2023,451,-0.130325815
30-09-2023,421,0.066518847
31-12-2023,432,-0.026128266
31-03-2024,435,-0.006944444
30-06-2024,449,-0.032183908
30-09-2024,441,0.017817372
31-12-2024,456,-0.034013605
31-03-2025,442,0.030701754
30-06-2025,474,-0.07239819
30-09-2025,465,0.018987342
31-12-2025,496,-0.066666667
