Date,Sales,GrowthRate
30-06-2013,445,-0.336336336
30-09-2013,395,-0.188356164
31-12-2013,428,0.025936599
31-03-2014,397,0.050295858
30-06-2014,434,-0.031152648
30-09-2014,470,-0.054380665
31-12-2014,455,0.137535817
31-03-2015,407,0.003322259
30-06-2015,421,-0.093333333
30-09-2015,451,-0.012195122
31-12-2015,450,0.048192771
31-03-2016,388,0
30-06-2016,443,-0.028481013
30-09-2016,447,-0.049230769
31-12-2016,446,0.090909091
31-03-2017,417,0.038709677
30-06-2017,430,-0.053691275
30-09-2017,470,-0.02866242
31-12-2017,465,0.012383901
31-03-2018,452,0.028213166
30-06-2018,495,-0.006451613
30-09-2018,484,-0.009615385
31-12-2018,469,0.063492063
31-03-2019,469,0.003389831
30-06-2019,513,-0.057823129
30-09-2019,520,0.003215434
31-12-2019,515,-0.019354839
31-03-2020,521,0.069620253
30-06-2020,535,-0.102040816
30-09-2020,588,-0.018518519
31-12-2020,584,-0.042424242
31-03-2021,642,0.046511628
30-06-2021,670,-0.051829268
30-09-2021,675,0.034782609
31-12-2021,645,-0.075075075
31-03-2022,708,0.053072626
30-06-2022,680,-0.026548673
30-09-2022,639,0.054597701
31-12-2022,594,-0.036474164
31-03-2023,690,-0.035190616
30-06-2023,678,-0.059490085
30-09-2023,718,0.053475936
31-12-2023,698,-0.002824859
31-03-2024,695,-0.025352113
30-06-2024,722,-0.013736264
30-09-2024,729,-0.035230352
31-12-2024,763,0.041884817
31-03-2025,738,-0.00273224
30-06-2025,788,-0.008174387
30-09-2025,808,0.005405405
31-12-2025,695,0.067934783
