Date,Sales,GrowthRate
30-06-2013,808,-1.098701299
30-09-2013,515,-1.35625
31-12-2013,549,-0.026525199
31-03-2014,545,0.049095607
30-06-2014,573,-0.067934783
30-09-2014,583,0.020356234
31-12-2014,661,-0.005194805
31-03-2015,577,0.005167959
30-06-2015,567,-0.041558442
30-09-2015,609,0.009975062
31-12-2015,625,-0.0302267
31-03-2016,564,0.014669927
30-06-2016,547,-0.054590571
30-09-2016,553,0.025882353
31-12-2016,542,-0.050724638
31-03-2017,495,0.006896552
30-06-2017,528,-0.0625
30-09-2017,539,0.050108932
31-12-2017,550,-0.032110092
31-03-2018,546,0.004444444
30-06-2018,582,-0.046875
30-09-2018,580,0.021321962
31-12-2018,546,-0.017429194
31-03-2019,576,0.029978587
30-06-2019,576,-0.048565121
30-09-2019,566,-0.006315789
31-12-2019,564,0.010460251
31-03-2020,571,-0.095137421
30-06-2020,540,0.065637066
30-09-2020,518,-0.008264463
31-12-2020,511,-0.018442623
31-03-2021,558,-0.022132797
30-06-2021,565,-0.039370079
30-09-2021,514,-0.109848485
31-12-2021,469,0.027303754
31-03-2022,509,0.407017544
30-06-2022,512,-0.221893491
30-09-2022,470,0.13559322
31-12-2022,428,-0.271708683
31-03-2023,465,-0.011013216
30-06-2023,517,-0.104575163
30-09-2023,495,0.001972387
31-12-2023,480,0.001976285
31-03-2024,495,-0.017821782
30-06-2024,495,-0.097276265
30-09-2024,387,-0.007092199
31-12-2024,438,0.01056338
31-03-2025,453,-0.046263345
30-06-2025,467,0.00170068
30-09-2025,457,0.114139693
31-12-2025,439,0.109615385
