Date,Sales,GrowthRate
30-06-2013,171,-0.049079755
30-09-2013,187,-0.093567251
31-12-2013,187,0
31-03-2014,182,0.026737968
30-06-2014,189,-0.038461538
30-09-2014,189,0
31-12-2014,204,-0.079365079
31-03-2015,185,0.093137255
30-06-2015,206,-0.113513514
30-09-2015,205,0.004854369
31-12-2015,217,-0.058536585
31-03-2016,190,0.124423963
30-06-2016,206,-0.084210526
30-09-2016,220,-0.067961165
31-12-2016,225,-0.022727273
31-03-2017,216,0.04
30-06-2017,232,-0.074074074
30-09-2017,230,0.00862069
31-12-2017,243,-0.056521739
31-03-2018,228,0.061728395
30-06-2018,248,-0.087719298
30-09-2018,249,-0.004032258
31-12-2018,260,-0.044176707
31-03-2019,249,0.042307692
30-06-2019,272,-0.092369478
30-09-2019,272,0
31-12-2019,293,-0.077205882
31-03-2020,267,0.088737201
30-06-2020,289,-0.082397004
30-09-2020,284,0.017301038
31-12-2020,326,-0.147887324
31-03-2021,271,0.168711656
30-06-2021,283,-0.044280443
30-09-2021,291,-0.028268551
31-12-2021,300,-0.030927835
31-03-2022,268,0.106666667
30-06-2022,287,-0.070895522
30-09-2022,281,0.020905923
31-12-2022,301,-0.071174377
31-03-2023,289,0.03986711
30-06-2023,311,-0.076124567
30-09-2023,317,-0.019292605
31-12-2023,326,-0.028391167
31-03-2024,310,0.049079755
30-06-2024,327,-0.05483871
30-09-2024,332,-0.01529052
31-12-2024,363,-0.093373494
31-03-2025,332,0.085399449
30-06-2025,351,-0.057228916
30-09-2025,366,-0.042735043
31-12-2025,376,-0.027322404
