Date,Sales,GrowthRate
30-06-2013,52,-0.083333333
30-09-2013,50,0.038461538
31-12-2013,53,-0.06
31-03-2014,46,0.132075472
30-06-2014,52,-0.130434783
30-09-2014,50,0.038461538
31-12-2014,50,0
31-03-2015,48,0.04
30-06-2015,50,-0.041666667
30-09-2015,47,0.06
31-12-2015,46,0.021276596
31-03-2016,47,-0.02173913
30-06-2016,51,-0.085106383
30-09-2016,42,0.176470588
31-12-2016,44,-0.047619048
31-03-2017,45,-0.022727273
30-06-2017,41,0.088888889
30-09-2017,37,0.097560976
31-12-2017,37,0
31-03-2018,39,-0.054054054
30-06-2018,38,0.025641026
30-09-2018,37,0.026315789
31-12-2018,38,-0.027027027
31-03-2019,40,-0.052631579
30-06-2019,38,0.05
30-09-2019,35,0.078947368
31-12-2019,36,-0.028571429
31-03-2020,65,-0.805555556
30-06-2020,144,-1.215384615
30-09-2020,220,-0.527777778
31-12-2020,192,0.127272727
31-03-2021,195,-0.015625
30-06-2021,94,0.517948718
30-09-2021,162,-0.723404255
31-12-2021,115,0.290123457
31-03-2022,172,-0.495652174
30-06-2022,71,0.587209302
30-09-2022,65,0.084507042
31-12-2022,62,0.046153846
31-03-2023,47,0.241935484
30-06-2023,43,0.085106383
30-09-2023,38,0.11627907
31-12-2023,44,-0.157894737
31-03-2024,42,0.045454545
30-06-2024,33,0.214285714
30-09-2024,37,-0.121212121
31-12-2024,38,-0.027027027
31-03-2025,40,-0.052631579
30-06-2025,35,0.125
30-09-2025,36,-0.028571429
31-12-2025,39,-0.083333333
