Date,Sales,GrowthRate
30-06-2013,81,0
30-09-2013,83,-0.024691358
31-12-2013,81,0.024096386
31-03-2014,82,-0.012345679
30-06-2014,84,-0.024390244
30-09-2014,86,-0.023809524
31-12-2014,95,-0.104651163
31-03-2015,94,0.010526316
30-06-2015,94,0
30-09-2015,96,-0.021276596
31-12-2015,104,-0.083333333
31-03-2016,102,0.019230769
30-06-2016,104,-0.019607843
30-09-2016,100,0.038461538
31-12-2016,106,-0.06
31-03-2017,110,-0.037735849
30-06-2017,112,-0.018181818
30-09-2017,102,0.089285714
31-12-2017,116,-0.137254902
31-03-2018,110,0.051724138
30-06-2018,108,0.018181818
30-09-2018,106,0.018518519
31-12-2018,108,-0.018867925
31-03-2019,109,-0.009259259
30-06-2019,113,-0.036697248
30-09-2019,112,0.008849558
31-12-2019,104,0.071428571
31-03-2020,103,0.009615385
30-06-2020,79,0.233009709
30-09-2020,96,-0.215189873
31-12-2020,91,0.052083333
31-03-2021,92,-0.010989011
30-06-2021,97,-0.054347826
30-09-2021,100,-0.030927835
31-12-2021,95,0.05
31-03-2022,91,0.042105263
30-06-2022,101,-0.10989011
30-09-2022,92,0.089108911
31-12-2022,88,0.043478261
31-03-2023,93,-0.056818182
30-06-2023,99,-0.064516129
30-09-2023,97,0.02020202
31-12-2023,107,-0.103092784
31-03-2024,98,0.08411215
30-06-2024,107,-0.091836735
30-09-2024,103,0.037383178
31-12-2024,100,0.029126214
31-03-2025,100,0
30-06-2025,104,-0.04
30-09-2025,111,-0.067307692
31-12-2025,107,0.036036036
