Date,Sales,GrowthRate
31-03-2018,323,-0.091216216
30-06-2018,258,0.20123839
30-09-2018,274,-0.062015504
31-12-2018,293,-0.069343066
31-03-2019,326,-0.112627986
30-06-2019,272,0.165644172
30-09-2019,283,-0.040441176
31-12-2019,333,-0.176678445
31-03-2020,368,-0.105105105
30-06-2020,345,0.0625
30-09-2020,533,-0.544927536
31-12-2020,1372,-1.574108818
31-03-2021,1103,0.19606414
30-06-2021,681,0.382592928
30-09-2021,1394,-1.046989721
31-12-2021,1856,-0.331420373
31-03-2022,2210,-0.190732759
30-06-2022,2010,0.090497738
30-09-2022,1303,0.351741294
31-12-2022,1244,0.045280123
31-03-2023,906,0.27170418
30-06-2023,508,0.439293598
30-09-2023,561,-0.104330709
31-12-2023,543,0.032085561
31-03-2024,481,0.114180479
30-06-2024,345,0.282744283
30-09-2024,560,-0.623188406
31-12-2024,554,0.010714286
31-03-2025,399,0.279783394
30-06-2025,321,0.195488722
30-09-2025,373,-0.161993769
31-12-2025,445,-0.193029491
