Date,Sales,GrowthRate
30-06-2013,135,-0.015037594
30-09-2013,122,0.096296296
31-12-2013,129,-0.057377049
31-03-2014,97,0.248062016
30-06-2014,98,-0.010309278
30-09-2014,102,-0.040816327
31-12-2014,108,-0.058823529
31-03-2015,102,0.055555556
30-06-2015,93,0.088235294
30-09-2015,98,-0.053763441
31-12-2015,101,-0.030612245
31-03-2016,69,0.316831683
30-06-2016,73,-0.057971014
30-09-2016,96,-0.315068493
31-12-2016,87,0.09375
31-03-2017,75,0.137931034
30-06-2017,81,-0.08
30-09-2017,84,-0.037037037
31-12-2017,92,-0.095238095
31-03-2018,86,0.065217391
30-06-2018,122,-0.418604651
30-09-2018,133,-0.090163934
31-12-2018,135,-0.015037594
31-03-2019,160,-0.185185185
30-06-2019,167,-0.04375
30-09-2019,184,-0.101796407
31-12-2019,167,0.092391304
31-03-2020,186,-0.113772455
30-06-2020,202,-0.086021505
30-09-2020,226,-0.118811881
31-12-2020,250,-0.10619469
31-03-2021,253,-0.012
30-06-2021,289,-0.14229249
30-09-2021,323,-0.117647059
31-12-2021,347,-0.074303406
31-03-2022,343,0.011527378
30-06-2022,399,-0.163265306
30-09-2022,423,-0.060150376
31-12-2022,468,-0.106382979
31-03-2023,479,-0.023504274
30-06-2023,505,-0.054279749
30-09-2023,544,-0.077227723
31-12-2023,601,-0.104779412
31-03-2024,589,0.019966722
30-06-2024,637,-0.081494058
30-09-2024,673,-0.056514914
31-12-2024,734,-0.09063893
31-03-2025,748,-0.019073569
30-06-2025,794,-0.061497326
30-09-2025,796,-0.002518892
31-12-2025,843,-0.059045226
