Date,Sales,GrowthRate
2017-06-30,154,-0.062068966
2017-09-30,147,0.045454545
2017-12-31,163,-0.108843537
2018-03-31,182,-0.116564417
2018-06-30,193,-0.06043956
2018-09-30,189,0.020725389
2018-12-31,200,-0.058201058
2019-03-31,193,0.035
2019-06-30,190,0.015544041
2019-09-30,185,0.026315789
2019-12-31,174,0.059459459
2020-03-31,164,0.057471264
2020-06-30,120,0.268292683
2020-09-30,192,-0.6
2020-12-31,184,0.041666667
2021-03-31,179,0.027173913
2021-06-30,209,-0.167597765
2021-09-30,192,0.081339713
2021-12-31,198,-0.03125
2022-03-31,216,-0.090909091
2022-06-30,226,-0.046296296
2022-09-30,225,0.004424779
2022-12-31,242,-0.075555556
2023-03-31,238,0.016528926
2023-06-30,245,-0.029411765
2023-09-30,246,-0.004081633
2023-12-31,279,-0.134146341
2024-03-31,269,0.035842294
2024-06-30,287,-0.066914498
2024-09-30,285,0.006968641
2024-12-31,300,-0.052631579
2025-03-31,299,0.003333333
2025-06-30,322,-0.076923077
2025-09-30,322,0
2025-12-31,340,-0.055900621
31-03-2022,50,0.852941176
30-06-2022,73,-0.46
30-09-2022,73,0
31-12-2022,79,-0.082191781
31-03-2023,85,-0.075949367
30-06-2023,85,0
30-09-2023,89,-0.047058824
31-12-2023,111,-0.247191011
31-03-2024,158,-0.423423423
30-06-2024,271,-0.715189873
30-09-2024,366,-0.350553506
31-12-2024,461,-0.259562842
31-03-2025,511,-0.10845987
30-06-2025,587,-0.148727984
30-09-2025,607,-0.03407155
31-12-2025,606,0.001647446
