Date,Sales,GrowthRate
30-06-2017,123,-0.128440367
30-09-2017,131,-0.06504065
31-12-2017,128,0.022900763
31-03-2018,114,0.109375
30-06-2018,117,-0.026315789
30-09-2018,111,0.051282051
31-12-2018,125,-0.126126126
31-03-2019,143,-0.144
30-06-2019,149,-0.041958042
30-09-2019,136,0.087248322
31-12-2019,146,-0.073529412
31-03-2020,152,-0.04109589
30-06-2020,115,0.243421053
30-09-2020,144,-0.252173913
31-12-2020,136,0.055555556
31-03-2021,145,-0.066176471
30-06-2021,168,-0.15862069
30-09-2021,170,-0.011904762
31-12-2021,171,-0.005882353
31-03-2022,167,0.023391813
30-06-2022,179,-0.071856287
30-09-2022,177,0.011173184
31-12-2022,171,0.033898305
31-03-2023,218,-0.274853801
30-06-2023,226,-0.036697248
30-09-2023,217,0.039823009
31-12-2023,227,-0.046082949
31-03-2024,237,-0.044052863
30-06-2024,244,-0.029535865
30-09-2024,252,-0.032786885
31-12-2024,253,-0.003968254
31-03-2025,262,-0.035573123
30-06-2025,282,-0.076335878
30-09-2025,280,0.007092199
31-12-2025,283,-0.010714286
31-03-2022,50,0.823321555
30-06-2022,73,-0.46
30-09-2022,73,0
31-12-2022,79,-0.082191781
31-03-2023,85,-0.075949367
30-06-2023,85,0
30-09-2023,89,-0.047058824
31-12-2023,111,-0.247191011
31-03-2024,158,-0.423423423
30-06-2024,271,-0.715189873
30-09-2024,366,-0.350553506
31-12-2024,461,-0.259562842
31-03-2025,511,-0.10845987
30-06-2025,587,-0.148727984
30-09-2025,607,-0.03407155
31-12-2025,606,0.001647446
