Date,Sales,GrowthRate
30-06-2017,161,-0.183823529
30-09-2017,164,-0.01863354
31-12-2017,175,-0.067073171
31-03-2018,168,0.04
30-06-2018,173,-0.029761905
30-09-2018,172,0.005780347
31-12-2018,177,-0.029069767
31-03-2019,152,0.141242938
30-06-2019,168,-0.105263158
30-09-2019,165,0.017857143
31-12-2019,175,-0.060606061
31-03-2020,137,0.217142857
30-06-2020,85,0.379562044
30-09-2020,170,-1
31-12-2020,172,-0.011764706
31-03-2021,145,0.156976744
30-06-2021,166,-0.144827586
30-09-2021,149,0.102409639
31-12-2021,156,-0.046979866
31-03-2022,143,0.083333333
30-06-2022,157,-0.097902098
30-09-2022,156,0.006369427
31-12-2022,163,-0.044871795
31-03-2023,155,0.049079755
30-06-2023,185,-0.193548387
30-09-2023,188,-0.016216216
31-12-2023,197,-0.04787234
31-03-2024,181,0.081218274
30-06-2024,192,-0.060773481
30-09-2024,190,0.010416667
31-12-2024,204,-0.073684211
31-03-2025,176,0.137254902
30-06-2025,193,-0.096590909
30-09-2025,196,-0.015544041
31-12-2025,208,-0.06122449
31-03-2022,50,0.759615385
30-06-2022,73,-0.46
30-09-2022,73,0
31-12-2022,79,-0.082191781
31-03-2023,85,-0.075949367
30-06-2023,85,0
30-09-2023,89,-0.047058824
31-12-2023,111,-0.247191011
31-03-2024,158,-0.423423423
30-06-2024,271,-0.715189873
30-09-2024,366,-0.350553506
31-12-2024,461,-0.259562842
31-03-2025,511,-0.10845987
30-06-2025,587,-0.148727984
30-09-2025,607,-0.03407155
31-12-2025,606,0.001647446
