Date,Sales,GrowthRate
30-06-2017,273,-0.05
30-09-2017,250,0.084249084
31-12-2017,247,0.012
31-03-2018,264,-0.068825911
30-06-2018,262,0.007575758
30-09-2018,252,0.038167939
31-12-2018,241,0.043650794
31-03-2019,233,0.033195021
30-06-2019,273,-0.17167382
30-09-2019,265,0.029304029
31-12-2019,286,-0.079245283
31-03-2020,228,0.202797203
30-06-2020,185,0.188596491
30-09-2020,242,-0.308108108
31-12-2020,248,-0.024793388
31-03-2021,241,0.028225806
30-06-2021,269,-0.116182573
30-09-2021,266,0.011152416
31-12-2021,242,0.090225564
31-03-2022,248,-0.024793388
30-06-2022,264,-0.064516129
30-09-2022,263,0.003787879
31-12-2022,254,0.034220532
31-03-2023,260,-0.023622047
30-06-2023,269,-0.034615385
30-09-2023,271,-0.007434944
31-12-2023,285,-0.051660517
31-03-2024,271,0.049122807
30-06-2024,292,-0.077490775
30-09-2024,288,0.01369863
31-12-2024,303,-0.052083333
31-03-2025,304,-0.00330033
30-06-2025,340,-0.118421053
30-09-2025,350,-0.029411765
31-12-2025,340,0.028571429
31-03-2022,50,0.852941176
30-06-2022,73,-0.46
30-09-2022,73,0
31-12-2022,79,-0.082191781
31-03-2023,85,-0.075949367
30-06-2023,85,0
30-09-2023,89,-0.047058824
31-12-2023,111,-0.247191011
31-03-2024,158,-0.423423423
30-06-2024,271,-0.715189873
30-09-2024,366,-0.350553506
31-12-2024,461,-0.259562842
31-03-2025,511,-0.10845987
30-06-2025,587,-0.148727984
30-09-2025,607,-0.03407155
31-12-2025,606,0.001647446
