Date,Sales,GrowthRate
30-06-2017,104,0.028037383
30-09-2017,109,-0.048076923
31-12-2017,112,-0.027522936
31-03-2018,109,0.026785714
30-06-2018,118,-0.082568807
30-09-2018,126,-0.06779661
31-12-2018,135,-0.071428571
31-03-2019,136,-0.007407407
30-06-2019,152,-0.117647059
30-09-2019,158,-0.039473684
31-12-2019,170,-0.075949367
31-03-2020,130,0.235294118
30-06-2020,91,0.3
30-09-2020,159,-0.747252747
31-12-2020,154,0.031446541
31-03-2021,169,-0.097402597
30-06-2021,191,-0.130177515
30-09-2021,177,0.073298429
31-12-2021,193,-0.09039548
31-03-2022,190,0.015544041
30-06-2022,207,-0.089473684
30-09-2022,207,0
31-12-2022,214,-0.033816425
31-03-2023,210,0.018691589
30-06-2023,219,-0.042857143
30-09-2023,223,-0.01826484
31-12-2023,231,-0.035874439
31-03-2024,233,-0.008658009
30-06-2024,258,-0.107296137
30-09-2024,270,-0.046511628
31-12-2024,290,-0.074074074
31-03-2025,282,0.027586207
30-06-2025,289,-0.024822695
30-09-2025,297,-0.027681661
31-12-2025,304,-0.023569024
31-03-2022,50,0.835526316
30-06-2022,73,-0.46
30-09-2022,73,0
31-12-2022,79,-0.082191781
31-03-2023,85,-0.075949367
30-06-2023,85,0
30-09-2023,89,-0.047058824
31-12-2023,111,-0.247191011
31-03-2024,158,-0.423423423
30-06-2024,271,-0.715189873
30-09-2024,366,-0.350553506
31-12-2024,461,-0.259562842
31-03-2025,511,-0.10845987
30-06-2025,587,-0.148727984
30-09-2025,607,-0.03407155
31-12-2025,606,0.001647446
