Date,Sales,GrowthRate
30-06-2013,286,-0.036231884
30-09-2013,301,-0.052447552
31-12-2013,285,0.053156146
31-03-2014,265,0.070175439
30-06-2014,281,-0.060377358
30-09-2014,281,0
31-12-2014,289,-0.028469751
31-03-2015,283,0.020761246
30-06-2015,298,-0.053003534
30-09-2015,278,0.067114094
31-12-2015,286,-0.028776978
31-03-2016,289,-0.01048951
30-06-2016,346,-0.197231834
30-09-2016,305,0.11849711
31-12-2016,307,-0.006557377
31-03-2017,304,0.009771987
30-06-2017,295,0.029605263
30-09-2017,292,0.010169492
31-12-2017,289,0.010273973
31-03-2018,286,0.010380623
30-06-2018,284,0.006993007
30-09-2018,284,0
31-12-2018,272,0.042253521
31-03-2019,266,0.022058824
30-06-2019,270,-0.015037594
30-09-2019,251,0.07037037
31-12-2019,260,-0.035856574
31-03-2020,230,0.115384615
30-06-2020,168,0.269565217
30-09-2020,230,-0.369047619
31-12-2020,225,0.02173913
31-03-2021,219,0.026666667
30-06-2021,246,-0.123287671
30-09-2021,219,0.109756098
31-12-2021,231,-0.054794521
31-03-2022,209,0.095238095
30-06-2022,228,-0.090909091
30-09-2022,213,0.065789474
31-12-2022,214,-0.004694836
31-03-2023,218,-0.018691589
30-06-2023,264,-0.211009174
30-09-2023,251,0.049242424
31-12-2023,245,0.023904382
31-03-2024,254,-0.036734694
30-06-2024,275,-0.082677165
30-09-2024,258,0.061818182
31-12-2024,269,-0.042635659
31-03-2025,268,0.003717472
30-06-2025,283,-0.055970149
30-09-2025,280,0.010600707
31-12-2025,287,-0.025
