Date,Sales,GrowthRate
30-06-2013,292,0.217158177
30-09-2013,347,-0.188356164
31-12-2013,338,0.025936599
31-03-2014,321,0.050295858
30-06-2014,331,-0.031152648
30-09-2014,349,-0.054380665
31-12-2014,301,0.137535817
31-03-2015,300,0.003322259
30-06-2015,328,-0.093333333
30-09-2015,332,-0.012195122
31-12-2015,316,0.048192771
31-03-2016,316,0
30-06-2016,325,-0.028481013
30-09-2016,341,-0.049230769
31-12-2016,310,0.090909091
31-03-2017,298,0.038709677
30-06-2017,314,-0.053691275
30-09-2017,323,-0.02866242
31-12-2017,319,0.012383901
31-03-2018,310,0.028213166
30-06-2018,312,-0.006451613
30-09-2018,315,-0.009615385
31-12-2018,295,0.063492063
31-03-2019,294,0.003389831
30-06-2019,311,-0.057823129
30-09-2019,310,0.003215434
31-12-2019,316,-0.019354839
31-03-2020,294,0.069620253
30-06-2020,324,-0.102040816
30-09-2020,330,-0.018518519
31-12-2020,344,-0.042424242
31-03-2021,328,0.046511628
30-06-2021,345,-0.051829268
30-09-2021,333,0.034782609
31-12-2021,358,-0.075075075
31-03-2022,339,0.053072626
30-06-2022,348,-0.026548673
30-09-2022,329,0.054597701
31-12-2022,341,-0.036474164
31-03-2023,353,-0.035190616
30-06-2023,374,-0.059490085
30-09-2023,354,0.053475936
31-12-2023,355,-0.002824859
31-03-2024,364,-0.025352113
30-06-2024,369,-0.013736264
30-09-2024,382,-0.035230352
31-12-2024,366,0.041884817
31-03-2025,367,-0.00273224
30-06-2025,370,-0.008174387
30-09-2025,368,0.005405405
31-12-2025,343,0.067934783
