Date,Sales,GrowthRate
30-06-2013,160,0.736842105
30-09-2013,377,-1.35625
31-12-2013,387,-0.026525199
31-03-2014,368,0.049095607
30-06-2014,393,-0.067934783
30-09-2014,385,0.020356234
31-12-2014,387,-0.005194805
31-03-2015,385,0.005167959
30-06-2015,401,-0.041558442
30-09-2015,397,0.009975062
31-12-2015,409,-0.0302267
31-03-2016,403,0.014669927
30-06-2016,425,-0.054590571
30-09-2016,414,0.025882353
31-12-2016,435,-0.050724638
31-03-2017,432,0.006896552
30-06-2017,459,-0.0625
30-09-2017,436,0.050108932
31-12-2017,450,-0.032110092
31-03-2018,448,0.004444444
30-06-2018,469,-0.046875
30-09-2018,459,0.021321962
31-12-2018,467,-0.017429194
31-03-2019,453,0.029978587
30-06-2019,475,-0.048565121
30-09-2019,478,-0.006315789
31-12-2019,473,0.010460251
31-03-2020,518,-0.095137421
30-06-2020,484,0.065637066
30-09-2020,488,-0.008264463
31-12-2020,497,-0.018442623
31-03-2021,508,-0.022132797
30-06-2021,528,-0.039370079
30-09-2021,586,-0.109848485
31-12-2021,570,0.027303754
31-03-2022,338,0.407017544
30-06-2022,413,-0.221893491
30-09-2022,357,0.13559322
31-12-2022,454,-0.271708683
31-03-2023,459,-0.011013216
30-06-2023,507,-0.104575163
30-09-2023,506,0.001972387
31-12-2023,505,0.001976285
31-03-2024,514,-0.017821782
30-06-2024,564,-0.097276265
30-09-2024,568,-0.007092199
31-12-2024,562,0.01056338
31-03-2025,588,-0.046263345
30-06-2025,587,0.00170068
30-09-2025,520,0.114139693
31-12-2025,463,0.109615385
