Date,Sales,GrowthRate
30-06-2013,915,-0.036240091
30-09-2013,908,0.007650273
31-12-2013,962,-0.059471366
31-03-2014,905,0.059251559
30-06-2014,968,-0.06961326
30-09-2014,955,0.013429752
31-12-2014,986,-0.032460733
31-03-2015,866,0.121703854
30-06-2015,947,-0.093533487
30-09-2015,925,0.023231257
31-12-2015,969,-0.047567568
31-03-2016,885,0.086687307
30-06-2016,978,-0.105084746
30-09-2016,977,0.001022495
31-12-2016,1004,-0.027635619
31-03-2017,911,0.092629482
30-06-2017,1020,-0.119648738
30-09-2017,1033,-0.012745098
31-12-2017,1099,-0.063891578
31-03-2018,1019,0.072793449
30-06-2018,1128,-0.106967615
30-09-2018,1086,0.037234043
31-12-2018,1153,-0.061694291
31-03-2019,1061,0.079791847
30-06-2019,1169,-0.101790763
30-09-2019,1177,-0.006843456
31-12-2019,1249,-0.061172472
31-03-2020,989,0.208166533
30-06-2020,987,0.002022245
30-09-2020,1176,-0.191489362
31-12-2020,1323,-0.125
31-03-2021,1182,0.106575964
30-06-2021,1306,-0.104906937
30-09-2021,1292,0.010719755
31-12-2021,1348,-0.043343653
31-03-2022,1184,0.121661721
30-06-2022,1221,-0.03125
30-09-2022,1219,0.001638002
31-12-2022,1264,-0.036915505
31-03-2023,1182,0.064873418
30-06-2023,1293,-0.093908629
30-09-2023,1314,-0.016241299
31-12-2023,1370,-0.04261796
31-03-2024,1205,0.120437956
30-06-2024,1329,-0.102904564
30-09-2024,1314,0.011286682
31-12-2024,1387,-0.055555556
31-03-2025,1177,0.151405912
30-06-2025,1358,-0.153780799
30-09-2025,1364,-0.004418262
31-12-2025,1461,-0.07111437
