Date,Sales,GrowthRate
30-06-2013,119,-0.122641509
30-09-2013,117,0.038461538
31-12-2013,131,-0.06
31-03-2014,111,0.132075472
30-06-2014,116,-0.130434783
30-09-2014,118,0.038461538
31-12-2014,131,0
31-03-2015,111,0.04
30-06-2015,116,-0.041666667
30-09-2015,113,0.06
31-12-2015,126,0.021276596
31-03-2016,108,-0.02173913
30-06-2016,119,-0.085106383
30-09-2016,112,0.176470588
31-12-2016,117,-0.047619048
31-03-2017,112,-0.022727273
30-06-2017,114,0.088888889
30-09-2017,115,0.097560976
31-12-2017,122,0
31-03-2018,118,-0.054054054
30-06-2018,122,0.025641026
30-09-2018,121,0.026315789
31-12-2018,123,-0.027027027
31-03-2019,108,-0.052631579
30-06-2019,107,0.05
30-09-2019,111,0.078947368
31-12-2019,116,-0.028571429
31-03-2020,139,-0.805555556
30-06-2020,359,-1.215384615
30-09-2020,458,-0.527777778
31-12-2020,482,0.127272727
31-03-2021,447,-0.015625
30-06-2021,290,0.517948718
30-09-2021,345,-0.723404255
31-12-2021,345,0.290123457
31-03-2022,420,-0.495652174
30-06-2022,212,0.587209302
30-09-2022,183,0.084507042
31-12-2022,180,0.046153846
31-03-2023,147,0.241935484
30-06-2023,141,0.085106383
30-09-2023,133,0.11627907
31-12-2023,153,-0.157894737
31-03-2024,129,0.045454545
30-06-2024,127,0.214285714
30-09-2024,128,-0.121212121
31-12-2024,137,-0.027027027
31-03-2025,122,-0.052631579
30-06-2025,123,0.125
30-09-2025,131,-0.028571429
31-12-2025,141,-0.083333333
