Date,Sales,GrowthRate
30-06-2013,101,-0.02020202
30-09-2013,100,0.00990099
31-12-2013,103,-0.03
31-03-2014,101,0.019417476
30-06-2014,105,-0.03960396
30-09-2014,107,-0.019047619
31-12-2014,117,-0.093457944
31-03-2015,116,0.008547009
30-06-2015,114,0.017241379
30-09-2015,118,-0.035087719
31-12-2015,125,-0.059322034
31-03-2016,125,0
30-06-2016,129,-0.032
30-09-2016,124,0.03875969
31-12-2016,135,-0.088709677
31-03-2017,135,0
30-06-2017,139,-0.02962963
30-09-2017,131,0.057553957
31-12-2017,145,-0.106870229
31-03-2018,141,0.027586207
30-06-2018,139,0.014184397
30-09-2018,136,0.021582734
31-12-2018,137,-0.007352941
31-03-2019,135,0.01459854
30-06-2019,145,-0.074074074
30-09-2019,144,0.006896552
31-12-2019,137,0.048611111
31-03-2020,138,-0.00729927
30-06-2020,118,0.144927536
30-09-2020,131,-0.110169492
31-12-2020,129,0.015267176
31-03-2021,129,0
30-06-2021,137,-0.062015504
30-09-2021,135,0.01459854
31-12-2021,135,0
31-03-2022,128,0.051851852
30-06-2022,139,-0.0859375
30-09-2022,127,0.086330935
31-12-2022,131,-0.031496063
31-03-2023,134,-0.022900763
30-06-2023,142,-0.059701493
30-09-2023,140,0.014084507
31-12-2023,149,-0.064285714
31-03-2024,139,0.067114094
30-06-2024,156,-0.122302158
30-09-2024,146,0.064102564
31-12-2024,147,-0.006849315
31-03-2025,142,0.034013605
30-06-2025,148,-0.042253521
30-09-2025,158,-0.067567568
31-12-2025,158,0
