Date,Sales,GrowthRate
31-03-2018,559,-0.035185185
30-06-2018,484,0.20123839
30-09-2018,481,-0.062015504
31-12-2018,548,-0.069343066
31-03-2019,537,-0.112627986
30-06-2019,484,0.165644172
30-09-2019,477,-0.040441176
31-12-2019,556,-0.176678445
31-03-2020,560,-0.105105105
30-06-2020,530,0.0625
30-09-2020,875,-0.544927536
31-12-2020,2411,-1.574108818
31-03-2021,2256,0.19606414
30-06-2021,1514,0.382592928
30-09-2021,2140,-1.046989721
31-12-2021,2643,-0.331420373
31-03-2022,3554,-0.190732759
30-06-2022,2750,0.090497738
30-09-2022,2142,0.351741294
31-12-2022,1730,0.045280123
31-03-2023,1225,0.27170418
30-06-2023,741,0.439293598
30-09-2023,862,-0.104330709
31-12-2023,862,0.032085561
31-03-2024,741,0.114180479
30-06-2024,583,0.282744283
30-09-2024,824,-0.623188406
31-12-2024,849,0.010714286
31-03-2025,613,0.279783394
30-06-2025,544,0.195488722
30-09-2025,600,-0.161993769
31-12-2025,697,-0.193029491
