Date,Sales,GrowthRate
30-06-2013,590,-0.008547009
30-09-2013,514,0.128813559
31-12-2013,592,-0.151750973
31-03-2014,496,0.162162162
30-06-2014,566,-0.141129032
30-09-2014,587,-0.037102473
31-12-2014,734,-0.250425894
31-03-2015,653,0.110354223
30-06-2015,727,-0.113323124
30-09-2015,698,0.039889959
31-12-2015,703,-0.007163324
31-03-2016,634,0.098150782
30-06-2016,754,-0.189274448
30-09-2016,747,0.00928382
31-12-2016,777,-0.040160643
31-03-2017,730,0.06048906
30-06-2017,798,-0.093150685
30-09-2017,885,-0.109022556
31-12-2017,894,-0.010169492
31-03-2018,793,0.112975391
30-06-2018,866,-0.092055485
30-09-2018,866,0
31-12-2018,838,0.032332564
31-03-2019,752,0.102625298
30-06-2019,853,-0.134308511
30-09-2019,891,-0.044548652
31-12-2019,896,-0.005611672
31-03-2020,813,0.092633929
30-06-2020,764,0.060270603
30-09-2020,799,-0.045811518
31-12-2020,1008,-0.261576971
31-03-2021,821,0.185515873
30-06-2021,915,-0.114494519
30-09-2021,936,-0.02295082
31-12-2021,867,0.073717949
31-03-2022,902,-0.040369089
30-06-2022,931,-0.032150776
30-09-2022,993,-0.066595059
31-12-2022,902,0.09164149
31-03-2023,912,-0.011086475
30-06-2023,990,-0.085526316
30-09-2023,987,0.003030303
31-12-2023,918,0.069908815
31-03-2024,928,-0.010893246
30-06-2024,988,-0.064655172
30-09-2024,955,0.03340081
31-12-2024,987,-0.033507853
31-03-2025,965,0.022289767
30-06-2025,1059,-0.097409326
30-09-2025,1097,-0.035882908
31-12-2025,1046,0.046490428
