Date,Sales,GrowthRate
30-06-2013,326,-0.03164557
30-09-2013,319,0.021472393
31-12-2013,346,-0.084639498
31-03-2014,283,0.182080925
30-06-2014,294,-0.038869258
30-09-2014,300,-0.020408163
31-12-2014,313,-0.043333333
31-03-2015,267,0.146964856
30-06-2015,278,-0.041198502
30-09-2015,275,0.010791367
31-12-2015,297,-0.08
31-03-2016,243,0.181818182
30-06-2016,283,-0.164609053
30-09-2016,306,-0.081272085
31-12-2016,310,-0.013071895
31-03-2017,292,0.058064516
30-06-2017,336,-0.150684932
30-09-2017,373,-0.110119048
31-12-2017,413,-0.107238606
31-03-2018,421,-0.01937046
30-06-2018,486,-0.154394299
30-09-2018,532,-0.094650206
31-12-2018,530,0.003759398
31-03-2019,581,-0.096226415
30-06-2019,618,-0.063683305
30-09-2019,681,-0.101941748
31-12-2019,644,0.054331865
31-03-2020,752,-0.167701863
30-06-2020,755,-0.003989362
30-09-2020,843,-0.116556291
31-12-2020,917,-0.087781732
31-03-2021,980,-0.06870229
30-06-2021,1056,-0.07755102
30-09-2021,1121,-0.06155303
31-12-2021,1171,-0.044603033
31-03-2022,1126,0.038428693
30-06-2022,1192,-0.058614565
30-09-2022,1167,0.020973154
31-12-2022,1271,-0.089117395
31-03-2023,1313,-0.033044847
30-06-2023,1424,-0.084539223
30-09-2023,1472,-0.033707865
31-12-2023,1552,-0.054347826
31-03-2024,1569,-0.010953608
30-06-2024,1648,-0.050350542
30-09-2024,1725,-0.046723301
31-12-2024,1863,-0.08
31-03-2025,1827,0.019323671
30-06-2025,1981,-0.084291188
30-09-2025,2057,-0.038364462
31-12-2025,2133,-0.03694701
