Date,Sales,GrowthRate
30-06-2017,343,-0.085443038
30-09-2017,342,0.002915452
31-12-2017,381,-0.114035088
31-03-2018,391,-0.026246719
30-06-2018,428,-0.094629156
30-09-2018,406,0.051401869
31-12-2018,443,-0.091133005
31-03-2019,429,0.031602709
30-06-2019,430,-0.002331002
30-09-2019,427,0.006976744
31-12-2019,435,-0.018735363
31-03-2020,388,0.108045977
30-06-2020,299,0.229381443
30-09-2020,441,-0.474916388
31-12-2020,450,-0.020408163
31-03-2021,431,0.042222222
30-06-2021,487,-0.129930394
30-09-2021,485,0.004106776
31-12-2021,504,-0.039175258
31-03-2022,485,0.037698413
30-06-2022,486,-0.002061856
30-09-2022,469,0.034979424
31-12-2022,487,-0.038379531
31-03-2023,505,-0.036960986
30-06-2023,553,-0.095049505
30-09-2023,544,0.016274864
31-12-2023,593,-0.090073529
31-03-2024,587,0.010118044
30-06-2024,627,-0.068143101
30-09-2024,610,0.027113238
31-12-2024,643,-0.054098361
31-03-2025,629,0.021772939
30-06-2025,700,-0.112877583
30-09-2025,705,-0.007142857
31-12-2025,730,-0.035460993
31-03-2022,50,0.931506849
30-06-2022,73,-0.46
30-09-2022,73,0
31-12-2022,79,-0.082191781
31-03-2023,85,-0.075949367
30-06-2023,85,0
30-09-2023,89,-0.047058824
31-12-2023,111,-0.247191011
31-03-2024,158,-0.423423423
30-06-2024,271,-0.715189873
30-09-2024,366,-0.350553506
31-12-2024,461,-0.259562842
31-03-2025,511,-0.10845987
30-06-2025,587,-0.148727984
30-09-2025,607,-0.03407155
31-12-2025,606,0.001647446
