Date,Sales,GrowthRate
30-06-2017,159,-0.11971831
30-09-2017,170,-0.06918239
31-12-2017,172,-0.011764706
31-03-2018,153,0.110465116
30-06-2018,163,-0.065359477
30-09-2018,152,0.067484663
31-12-2018,178,-0.171052632
31-03-2019,184,-0.033707865
30-06-2019,201,-0.092391304
30-09-2019,186,0.074626866
31-12-2019,198,-0.064516129
31-03-2020,203,-0.025252525
30-06-2020,158,0.221674877
30-09-2020,190,-0.202531646
31-12-2020,189,0.005263158
31-03-2021,194,-0.026455026
30-06-2021,227,-0.170103093
30-09-2021,229,-0.008810573
31-12-2021,239,-0.043668122
31-03-2022,221,0.075313808
30-06-2022,241,-0.090497738
30-09-2022,228,0.053941909
31-12-2022,230,-0.00877193
31-03-2023,281,-0.22173913
30-06-2023,295,-0.049822064
30-09-2023,284,0.037288136
31-12-2023,301,-0.059859155
31-03-2024,305,-0.013289037
30-06-2024,321,-0.052459016
30-09-2024,322,-0.003115265
31-12-2024,331,-0.027950311
31-03-2025,339,-0.024169184
30-06-2025,368,-0.085545723
30-09-2025,366,0.005434783
31-12-2025,375,-0.024590164
31-03-2022,50,0.866666667
30-06-2022,73,-0.46
30-09-2022,73,0
31-12-2022,79,-0.082191781
31-03-2023,85,-0.075949367
30-06-2023,85,0
30-09-2023,89,-0.047058824
31-12-2023,111,-0.247191011
31-03-2024,158,-0.423423423
30-06-2024,271,-0.715189873
30-09-2024,366,-0.350553506
31-12-2024,461,-0.259562842
31-03-2025,511,-0.10845987
30-06-2025,587,-0.148727984
30-09-2025,607,-0.03407155
31-12-2025,606,0.001647446
