Date,Sales,GrowthRate
30-06-2017,207,-0.182857143
30-09-2017,208,-0.004830918
31-12-2017,218,-0.048076923
31-03-2018,212,0.027522936
30-06-2018,222,-0.047169811
30-09-2018,212,0.045045045
31-12-2018,218,-0.028301887
31-03-2019,193,0.114678899
30-06-2019,212,-0.098445596
30-09-2019,204,0.037735849
31-12-2019,222,-0.088235294
31-03-2020,177,0.202702703
30-06-2020,106,0.401129944
30-09-2020,206,-0.943396226
31-12-2020,213,-0.033980583
31-03-2021,184,0.136150235
30-06-2021,210,-0.141304348
30-09-2021,190,0.095238095
31-12-2021,197,-0.036842105
31-03-2022,179,0.091370558
30-06-2022,197,-0.100558659
30-09-2022,192,0.025380711
31-12-2022,202,-0.052083333
31-03-2023,196,0.02970297
30-06-2023,227,-0.158163265
30-09-2023,227,0
31-12-2023,240,-0.057268722
31-03-2024,226,0.058333333
30-06-2024,243,-0.075221239
30-09-2024,236,0.028806584
31-12-2024,257,-0.088983051
31-03-2025,228,0.112840467
30-06-2025,254,-0.114035088
30-09-2025,254,0
31-12-2025,274,-0.078740157
31-03-2022,50,0.817518248
30-06-2022,73,-0.46
30-09-2022,73,0
31-12-2022,79,-0.082191781
31-03-2023,85,-0.075949367
30-06-2023,85,0
30-09-2023,89,-0.047058824
31-12-2023,111,-0.247191011
31-03-2024,158,-0.423423423
30-06-2024,271,-0.715189873
30-09-2024,366,-0.350553506
31-12-2024,461,-0.259562842
31-03-2025,511,-0.10845987
30-06-2025,587,-0.148727984
30-09-2025,607,-0.03407155
31-12-2025,606,0.001647446
