Date,Sales,GrowthRate
30-06-2017,552,-0.080234834
30-09-2017,511,0.084249084
31-12-2017,529,0.012
31-03-2018,535,-0.068825911
30-06-2018,543,0.007575758
30-09-2018,508,0.038167939
31-12-2018,505,0.043650794
31-03-2019,490,0.033195021
30-06-2019,548,-0.17167382
30-09-2019,538,0.029304029
31-12-2019,568,-0.079245283
31-03-2020,474,0.202797203
30-06-2020,401,0.188596491
30-09-2020,507,-0.308108108
31-12-2020,532,-0.024793388
31-03-2021,519,0.028225806
30-06-2021,567,-0.116182573
30-09-2021,571,0.011152416
31-12-2021,541,0.090225564
31-03-2022,524,-0.024793388
30-06-2022,548,-0.064516129
30-09-2022,533,0.003787879
31-12-2022,514,0.034220532
31-03-2023,527,-0.023622047
30-06-2023,583,-0.034615385
30-09-2023,563,-0.007434944
31-12-2023,582,-0.051660517
31-03-2024,562,0.049122807
30-06-2024,607,-0.077490775
30-09-2024,597,0.01369863
31-12-2024,624,-0.052083333
31-03-2025,585,-0.00330033
30-06-2025,673,-0.118421053
30-09-2025,686,-0.029411765
31-12-2025,705,0.028571429
31-03-2022,50,0.852941176
30-06-2022,73,-0.46
30-09-2022,73,0
31-12-2022,79,-0.082191781
31-03-2023,85,-0.075949367
30-06-2023,85,0
30-09-2023,89,-0.047058824
31-12-2023,111,-0.247191011
31-03-2024,158,-0.423423423
30-06-2024,271,-0.715189873
30-09-2024,366,-0.350553506
31-12-2024,461,-0.259562842
31-03-2025,511,-0.10845987
30-06-2025,587,-0.148727984
30-09-2025,607,-0.03407155
31-12-2025,606,0.001647446
