Date,Sales,GrowthRate
30-06-2017,268,-0.046875
30-09-2017,269,-0.003731343
31-12-2017,290,-0.078066914
31-03-2018,293,-0.010344828
30-06-2018,315,-0.075085324
30-09-2018,305,0.031746032
31-12-2018,326,-0.068852459
31-03-2019,324,0.006134969
30-06-2019,352,-0.086419753
30-09-2019,348,0.011363636
31-12-2019,376,-0.08045977
31-03-2020,318,0.154255319
30-06-2020,223,0.298742138
30-09-2020,353,-0.582959641
31-12-2020,353,0
31-03-2021,377,-0.067988669
30-06-2021,422,-0.119363395
30-09-2021,392,0.071090047
31-12-2021,419,-0.068877551
31-03-2022,411,0.019093079
30-06-2022,440,-0.070559611
30-09-2022,420,0.045454545
31-12-2022,441,-0.05
31-03-2023,461,-0.045351474
30-06-2023,498,-0.080260304
30-09-2023,487,0.022088353
31-12-2023,498,-0.022587269
31-03-2024,515,-0.034136546
30-06-2024,564,-0.095145631
30-09-2024,558,0.010638298
31-12-2024,609,-0.091397849
31-03-2025,577,0.052545156
30-06-2025,636,-0.102253033
30-09-2025,635,0.001572327
31-12-2025,675,-0.062992126
31-03-2022,50,0.925925926
30-06-2022,73,-0.46
30-09-2022,73,0
31-12-2022,79,-0.082191781
31-03-2023,85,-0.075949367
30-06-2023,85,0
30-09-2023,89,-0.047058824
31-12-2023,111,-0.247191011
31-03-2024,158,-0.423423423
30-06-2024,271,-0.715189873
30-09-2024,366,-0.350553506
31-12-2024,461,-0.259562842
31-03-2025,511,-0.10845987
30-06-2025,587,-0.148727984
30-09-2025,607,-0.03407155
31-12-2025,606,0.001647446
