Date,Sales,GrowthRate
30-06-2013,750,-0.010781671
30-09-2013,747,0.004
31-12-2013,772,-0.033467202
31-03-2014,738,0.044041451
30-06-2014,765,-0.036585366
30-09-2014,730,0.045751634
31-12-2014,753,-0.031506849
31-03-2015,698,0.073041169
30-06-2015,722,-0.034383954
30-09-2015,672,0.069252078
31-12-2015,700,-0.041666667
31-03-2016,685,0.021428571
30-06-2016,782,-0.141605839
30-09-2016,708,0.094629156
31-12-2016,721,-0.018361582
31-03-2017,703,0.024965326
30-06-2017,731,-0.039829303
30-09-2017,724,0.009575923
31-12-2017,734,-0.013812155
31-03-2018,739,-0.006811989
30-06-2018,750,-0.01488498
30-09-2018,720,0.04
31-12-2018,720,0
31-03-2019,709,0.015277778
30-06-2019,730,-0.029619182
30-09-2019,697,0.045205479
31-12-2019,714,-0.024390244
31-03-2020,625,0.12464986
30-06-2020,481,0.2304
30-09-2020,630,-0.30977131
31-12-2020,603,0.042857143
31-03-2021,635,-0.053067993
30-06-2021,697,-0.097637795
30-09-2021,644,0.076040172
31-12-2021,678,-0.052795031
31-03-2022,619,0.087020649
30-06-2022,653,-0.054927302
30-09-2022,606,0.071975498
31-12-2022,605,0.001650165
31-03-2023,617,-0.019834711
30-06-2023,715,-0.158833063
30-09-2023,672,0.06013986
31-12-2023,677,-0.007440476
31-03-2024,689,-0.017725258
30-06-2024,724,-0.050798258
30-09-2024,699,0.034530387
31-12-2024,725,-0.037195994
31-03-2025,710,0.020689655
30-06-2025,757,-0.066197183
30-09-2025,745,0.015852048
31-12-2025,783,-0.051006711
