Date,Sales,GrowthRate
30-06-2013,743,-0.043539326
30-09-2013,725,-0.188356164
31-12-2013,772,0.025936599
31-03-2014,722,0.050295858
30-06-2014,768,-0.031152648
30-09-2014,824,-0.054380665
31-12-2014,761,0.137535817
31-03-2015,707,0.003322259
30-06-2015,749,-0.093333333
30-09-2015,783,-0.012195122
31-12-2015,766,0.048192771
31-03-2016,704,0
30-06-2016,768,-0.028481013
30-09-2016,788,-0.049230769
31-12-2016,756,0.090909091
31-03-2017,715,0.038709677
30-06-2017,744,-0.053691275
30-09-2017,793,-0.02866242
31-12-2017,784,0.012383901
31-03-2018,762,0.028213166
30-06-2018,807,-0.006451613
30-09-2018,799,-0.009615385
31-12-2018,764,0.063492063
31-03-2019,763,0.003389831
30-06-2019,824,-0.057823129
30-09-2019,830,0.003215434
31-12-2019,831,-0.019354839
31-03-2020,815,0.069620253
30-06-2020,859,-0.102040816
30-09-2020,918,-0.018518519
31-12-2020,928,-0.042424242
31-03-2021,970,0.046511628
30-06-2021,1015,-0.051829268
30-09-2021,1008,0.034782609
31-12-2021,1003,-0.075075075
31-03-2022,1047,0.053072626
30-06-2022,1028,-0.026548673
30-09-2022,968,0.054597701
31-12-2022,935,-0.036474164
31-03-2023,1043,-0.035190616
30-06-2023,1052,-0.059490085
30-09-2023,1072,0.053475936
31-12-2023,1053,-0.002824859
31-03-2024,1059,-0.025352113
30-06-2024,1091,-0.013736264
30-09-2024,1111,-0.035230352
31-12-2024,1129,0.041884817
31-03-2025,1105,-0.00273224
30-06-2025,1158,-0.008174387
30-09-2025,1176,0.005405405
31-12-2025,1038,0.067934783
