Date,Sales,GrowthRate
30-06-2013,961,0.026342452
30-09-2013,910,0.053069719
31-12-2013,930,-0.021978022
31-03-2014,909,0.022580645
30-06-2014,963,-0.059405941
30-09-2014,963,0
31-12-2014,1043,-0.083073728
31-03-2015,962,0.077660594
30-06-2015,968,-0.006237006
30-09-2015,1006,-0.039256198
31-12-2015,1034,-0.027833002
31-03-2016,967,0.064796905
30-06-2016,972,-0.005170631
30-09-2016,967,0.005144033
31-12-2016,977,-0.010341262
31-03-2017,927,0.051177073
30-06-2017,987,-0.064724919
30-09-2017,975,0.012158055
31-12-2017,1000,-0.025641026
31-03-2018,994,0.006
30-06-2018,1051,-0.057344064
30-09-2018,1039,0.011417697
31-12-2018,1013,0.025024062
31-03-2019,1029,-0.015794669
30-06-2019,1051,-0.021379981
30-09-2019,1044,0.006660324
31-12-2019,1037,0.006704981
31-03-2020,1089,-0.050144648
30-06-2020,1024,0.059687787
30-09-2020,1006,0.017578125
31-12-2020,1008,-0.001988072
31-03-2021,1066,-0.057539683
30-06-2021,1093,-0.02532833
30-09-2021,1100,-0.006404392
31-12-2021,1039,0.055454545
31-03-2022,847,0.18479307
30-06-2022,925,-0.092089728
30-09-2022,827,0.105945946
31-12-2022,882,-0.066505441
31-03-2023,924,-0.047619048
30-06-2023,1024,-0.108225108
30-09-2023,1001,0.022460938
31-12-2023,985,0.015984016
31-03-2024,1009,-0.024365482
30-06-2024,1059,-0.049554014
30-09-2024,955,0.098205855
31-12-2024,1090,-0.141361257
31-03-2025,1041,0.044954128
30-06-2025,1054,-0.012487992
30-09-2025,977,0.073055028
31-12-2025,902,0.076765609
