Date,Sales,GrowthRate
30-09-2020,156,-0.974683544
31-12-2020,190,-0.217948718
31-03-2021,172,0.094736842
30-06-2021,218,-0.26744186
30-09-2021,189,0.133027523
31-12-2021,229,-0.211640212
31-03-2022,228,0.004366812
30-06-2022,246,-0.078947368
30-09-2022,267,-0.085365854
31-12-2022,220,0.176029963
31-03-2023,250,-0.136363636
30-06-2023,265,-0.06
30-09-2023,232,0.124528302
31-12-2023,265,-0.142241379
31-03-2024,244,0.079245283
30-06-2024,279,-0.143442623
30-09-2024,257,0.078853047
31-12-2024,258,-0.003891051
31-03-2025,261,-0.011627907
30-06-2025,282,-0.08045977
30-09-2025,258,0.085106383
31-12-2025,297,-0.151162791
