Date,Sales,GrowthRate
30-09-2020,94,-1.186046512
31-12-2020,95,-0.010638298
31-03-2021,103,-0.084210526
30-06-2021,115,-0.116504854
30-09-2021,111,0.034782609
31-12-2021,110,0.009009009
31-03-2022,114,-0.036363636
30-06-2022,121,-0.061403509
30-09-2022,115,0.049586777
31-12-2022,114,0.008695652
31-03-2023,132,-0.157894737
30-06-2023,134,-0.015151515
30-09-2023,122,0.089552239
31-12-2023,127,-0.040983607
31-03-2024,137,-0.078740157
30-06-2024,145,-0.058394161
30-09-2024,140,0.034482759
31-12-2024,143,-0.021428571
31-03-2025,143,0
30-06-2025,153,-0.06993007
30-09-2025,160,-0.045751634
31-12-2025,162,-0.0125
