Date,Sales,GrowthRate
30-09-2020,159,-1.789473684
31-12-2020,184,-0.157232704
31-03-2021,198,-0.076086957
30-06-2021,232,-0.171717172
30-09-2021,195,0.159482759
31-12-2021,252,-0.292307692
31-03-2022,262,-0.03968254
30-06-2022,197,0.248091603
30-09-2022,227,-0.152284264
31-12-2022,194,0.145374449
31-03-2023,233,-0.201030928
30-06-2023,243,-0.042918455
30-09-2023,205,0.156378601
31-12-2023,178,0.131707317
31-03-2024,191,-0.073033708
30-06-2024,205,-0.073298429
30-09-2024,153,0.253658537
31-12-2024,159,-0.039215686
31-03-2025,156,0.018867925
30-06-2025,155,0.006410256
30-09-2025,155,0
31-12-2025,142,0.083870968
