Date,Sales,GrowthRate
30-09-2020,35,-1.333333333
31-12-2020,44,-0.257142857
31-03-2021,43,0.022727273
30-06-2021,59,-0.372093023
30-09-2021,47,0.203389831
31-12-2021,49,-0.042553191
31-03-2022,38,0.224489796
30-06-2022,45,-0.184210526
30-09-2022,47,-0.044444444
31-12-2022,38,0.191489362
31-03-2023,40,-0.052631579
30-06-2023,47,-0.175
30-09-2023,43,0.085106383
31-12-2023,44,-0.023255814
31-03-2024,38,0.136363636
30-06-2024,43,-0.131578947
30-09-2024,38,0.11627907
31-12-2024,42,-0.105263158
31-03-2025,45,-0.071428571
30-06-2025,45,0
30-09-2025,38,0.155555556
31-12-2025,36,0.052631579
