Date,Sales,GrowthRate
30-09-2020,237,-0.612244898
31-12-2020,303,-0.278481013
31-03-2021,305,-0.00660066
30-06-2021,366,-0.2
30-09-2021,356,0.027322404
31-12-2021,397,-0.115168539
31-03-2022,413,-0.040302267
30-06-2022,449,-0.08716707
30-09-2022,370,0.175946548
31-12-2022,422,-0.140540541
31-03-2023,409,0.030805687
30-06-2023,420,-0.026894866
30-09-2023,388,0.076190476
31-12-2023,453,-0.167525773
31-03-2024,389,0.141280353
30-06-2024,450,-0.156812339
30-09-2024,414,0.08
31-12-2024,429,-0.036231884
31-03-2025,295,0.312354312
30-06-2025,410,-0.389830508
30-09-2025,379,0.075609756
31-12-2025,420,-0.10817942
