Date,Sales,GrowthRate
30-09-2020,429,-0.688976378
31-12-2020,472,-0.1002331
31-03-2021,429,0.091101695
30-06-2021,488,-0.137529138
30-09-2021,534,-0.094262295
31-12-2021,561,-0.050561798
31-03-2022,500,0.108734403
30-06-2022,557,-0.114
30-09-2022,584,-0.048473968
31-12-2022,614,-0.051369863
31-03-2023,587,0.043973941
30-06-2023,614,-0.045996593
30-09-2023,626,-0.019543974
31-12-2023,649,-0.036741214
31-03-2024,611,0.058551618
30-06-2024,669,-0.09492635
30-09-2024,708,-0.058295964
31-12-2024,730,-0.031073446
31-03-2025,723,0.009589041
30-06-2025,775,-0.071922545
30-09-2025,825,-0.064516129
31-12-2025,828,-0.003636364
