Date,Sales,GrowthRate
30-09-2020,265,-1.086614173
31-12-2020,274,-0.033962264
31-03-2021,300,-0.094890511
30-06-2021,363,-0.21
30-09-2021,305,0.159779614
31-12-2021,300,0.016393443
31-03-2022,285,0.05
30-06-2022,287,-0.007017544
30-09-2022,265,0.076655052
31-12-2022,285,-0.075471698
31-03-2023,246,0.136842105
30-06-2023,284,-0.154471545
30-09-2023,255,0.102112676
31-12-2023,275,-0.078431373
31-03-2024,281,-0.021818182
30-06-2024,275,0.021352313
30-09-2024,272,0.010909091
31-12-2024,290,-0.066176471
31-03-2025,270,0.068965517
30-06-2025,282,-0.044444444
30-09-2025,265,0.060283688
31-12-2025,284,-0.071698113
