Date,Sales,GrowthRate
30-09-2020,115,-1.053571429
31-12-2020,147,-0.1002331
31-03-2021,123,0.091101695
30-06-2021,196,-0.137529138
30-09-2021,159,-0.094262295
31-12-2021,180,-0.050561798
31-03-2022,148,0.108734403
30-06-2022,147,-0.114
30-09-2022,125,-0.048473968
31-12-2022,128,-0.051369863
31-03-2023,122,0.043973941
30-06-2023,125,-0.045996593
30-09-2023,116,-0.019543974
31-12-2023,156,-0.036741214
31-03-2024,106,0.058551618
30-06-2024,138,-0.09492635
30-09-2024,105,-0.058295964
31-12-2024,120,-0.031073446
31-03-2025,75,0.009589041
30-06-2025,105,-0.071922545
30-09-2025,98,-0.064516129
31-12-2025,107,-0.003636364
