Date,Sales,GrowthRate
30-09-2020,393,-0.738938053
31-12-2020,493,-0.278481013
31-03-2021,477,-0.00660066
30-06-2021,584,-0.2
30-09-2021,545,0.027322404
31-12-2021,626,-0.115168539
31-03-2022,641,-0.040302267
30-06-2022,695,-0.08716707
30-09-2022,637,0.175946548
31-12-2022,642,-0.140540541
31-03-2023,659,0.030805687
30-06-2023,685,-0.026894866
30-09-2023,620,0.076190476
31-12-2023,718,-0.167525773
31-03-2024,633,0.141280353
30-06-2024,729,-0.156812339
30-09-2024,671,0.08
31-12-2024,687,-0.036231884
31-03-2025,556,0.312354312
30-06-2025,692,-0.389830508
30-09-2025,637,0.075609756
31-12-2025,717,-0.10817942
