Date,Sales,GrowthRate
30-09-2020,523,-0.760942761
31-12-2020,567,-0.1002331
31-03-2021,532,0.091101695
30-06-2021,603,-0.137529138
30-09-2021,645,-0.094262295
31-12-2021,671,-0.050561798
31-03-2022,614,0.108734403
30-06-2022,678,-0.114
30-09-2022,699,-0.048473968
31-12-2022,728,-0.051369863
31-03-2023,719,0.043973941
30-06-2023,748,-0.045996593
30-09-2023,748,-0.019543974
31-12-2023,776,-0.036741214
31-03-2024,748,0.058551618
30-06-2024,814,-0.09492635
30-09-2024,848,-0.058295964
31-12-2024,873,-0.031073446
31-03-2025,866,0.009589041
30-06-2025,928,-0.071922545
30-09-2025,985,-0.064516129
31-12-2025,990,-0.003636364
