Date,Sales,GrowthRate
30-09-2020,274,-1.424778761
31-12-2020,331,-0.208029197
31-03-2021,321,0.03021148
30-06-2021,428,-0.333333333
30-09-2021,354,0.172897196
31-12-2021,432,-0.220338983
31-03-2022,410,0.050925926
30-06-2022,344,0.16097561
30-09-2022,352,-0.023255814
31-12-2022,322,0.085227273
31-03-2023,355,-0.102484472
30-06-2023,368,-0.036619718
30-09-2023,321,0.127717391
31-12-2023,334,-0.040498442
31-03-2024,297,0.110778443
30-06-2024,343,-0.154882155
30-09-2024,258,0.247813411
31-12-2024,279,-0.081395349
31-03-2025,231,0.172043011
30-06-2025,260,-0.125541126
30-09-2025,253,0.026923077
31-12-2025,249,0.015810277
