Date,Sales,GrowthRate
30-09-2020,300,-1.112676056
31-12-2020,318,-0.06
31-03-2021,343,-0.078616352
30-06-2021,422,-0.2303207
30-09-2021,352,0.165876777
31-12-2021,349,0.008522727
31-03-2022,323,0.074498567
30-06-2022,332,-0.027863777
30-09-2022,312,0.060240964
31-12-2022,323,-0.03525641
31-03-2023,286,0.114551084
30-06-2023,331,-0.157342657
30-09-2023,298,0.099697885
31-12-2023,319,-0.070469799
31-03-2024,319,0
30-06-2024,318,0.003134796
30-09-2024,310,0.025157233
31-12-2024,332,-0.070967742
31-03-2025,315,0.051204819
30-06-2025,327,-0.038095238
30-09-2025,303,0.073394495
31-12-2025,320,-0.056105611
