Date,Sales,GrowthRate
30-06-2018,119,0.024590164
30-09-2018,119,0
31-12-2018,130,-0.092436975
31-03-2019,122,0.061538462
30-06-2019,127,-0.040983607
30-09-2019,125,0.015748031
31-12-2019,131,-0.048
31-03-2020,55,0.580152672
30-06-2020,62,-0.127272727
30-09-2020,54,0.129032258
31-12-2020,59,-0.092592593
31-03-2021,55,0.06779661
30-06-2021,56,-0.018181818
30-09-2021,49,0.125
31-12-2021,59,-0.204081633
31-03-2022,55,0.06779661
30-06-2022,57,-0.036363636
30-09-2022,62,-0.087719298
31-12-2022,70,-0.129032258
31-03-2023,57,0.185714286
30-06-2023,62,-0.087719298
30-09-2023,60,0.032258065
31-12-2023,70,-0.166666667
31-03-2024,51,0.271428571
30-06-2024,58,-0.137254902
30-09-2024,58,0
31-12-2024,75,-0.293103448
31-03-2025,57,0.24
30-06-2025,61,-0.070175439
30-09-2025,50,0.180327869
