Date,Sales,GrowthRate
30-06-2018,130,-0.120689655
30-09-2018,118,0.092307692
31-12-2018,150,-0.271186441
31-03-2019,117,0.22
30-06-2019,135,-0.153846154
30-09-2019,132,0.022222222
31-12-2019,153,-0.159090909
31-03-2020,118,0.22875817
30-06-2020,113,0.042372881
30-09-2020,118,-0.044247788
31-12-2020,136,-0.152542373
31-03-2021,99,0.272058824
30-06-2021,121,-0.222222222
30-09-2021,116,0.041322314
31-12-2021,128,-0.103448276
31-03-2022,101,0.2109375
30-06-2022,114,-0.128712871
30-09-2022,118,-0.035087719
31-12-2022,129,-0.093220339
31-03-2023,102,0.209302326
30-06-2023,103,-0.009803922
30-09-2023,103,0
31-12-2023,116,-0.126213592
31-03-2024,108,0.068965517
30-06-2024,108,0
30-09-2024,92,0.148148148
31-12-2024,106,-0.152173913
31-03-2025,73,0.311320755
30-06-2025,80,-0.095890411
30-09-2025,74,0.075
