Date,Sales,GrowthRate
30-06-2021,620,-0.158878505
30-09-2021,594,0.041935484
31-12-2021,639,-0.075757576
31-03-2022,601,0.059467919
30-06-2022,644,-0.071547421
30-09-2022,618,0.040372671
31-12-2022,636,-0.029126214
31-03-2023,656,-0.031446541
30-06-2023,714,-0.088414634
30-09-2023,661,0.074229692
31-12-2023,688,-0.040847201
31-03-2024,686,0.002906977
30-06-2024,736,-0.072886297
30-09-2024,701,0.047554348
31-12-2024,738,-0.05278174
31-03-2025,712,0.035230352
30-06-2025,777,-0.091292135
30-09-2025,745,0.041184041
31-12-2025,794,-0.065771812
