Date,Sales,GrowthRate
30-06-2021,199,-0.005050505
30-09-2021,192,0.035175879
31-12-2021,204,-0.0625
31-03-2022,203,0.004901961
30-06-2022,208,-0.024630542
30-09-2022,206,0.009615385
31-12-2022,204,0.009708738
31-03-2023,221,-0.083333333
30-06-2023,231,-0.045248869
30-09-2023,214,0.073593074
31-12-2023,226,-0.056074766
31-03-2024,219,0.030973451
30-06-2024,223,-0.01826484
30-09-2024,215,0.035874439
31-12-2024,229,-0.065116279
31-03-2025,199,0.131004367
30-06-2025,222,-0.115577889
30-09-2025,243,-0.094594595
31-12-2025,277,-0.139917695
