Date,Sales,GrowthRate
30-06-2021,387,-0.125
30-09-2021,375,0.031007752
31-12-2021,416,-0.109333333
31-03-2022,455,-0.09375
30-06-2022,444,0.024175824
30-09-2022,392,0.117117117
31-12-2022,434,-0.107142857
31-03-2023,427,0.016129032
30-06-2023,437,-0.023419204
30-09-2023,401,0.082379863
31-12-2023,438,-0.092269327
31-03-2024,433,0.011415525
30-06-2024,464,-0.071593533
30-09-2024,422,0.090517241
31-12-2024,456,-0.08056872
31-03-2025,420,0.078947368
30-06-2025,456,-0.085714286
30-09-2025,432,0.052631579
31-12-2025,474,-0.097222222
