Date,Sales,GrowthRate
30-06-2021,535,-0.05108055
30-09-2021,562,-0.05046729
31-12-2021,533,0.051601423
31-03-2022,557,-0.045028143
30-06-2022,547,0.017953321
30-09-2022,558,-0.020109689
31-12-2022,530,0.050179211
31-03-2023,615,-0.160377358
30-06-2023,594,0.034146341
30-09-2023,612,-0.03030303
31-12-2023,579,0.053921569
31-03-2024,671,-0.158894646
30-06-2024,636,0.052160954
30-09-2024,664,-0.044025157
31-12-2024,638,0.039156627
31-03-2025,688,-0.078369906
30-06-2025,692,-0.005813953
30-09-2025,707,-0.021676301
31-12-2025,683,0.033946252
